影片名,上映年代,票房（万元）,,
冰河追凶,2016,4320.02,,
十月初五的月光,2015,4288.59,,
新大头儿子和小头爸爸之秘密计划,2014,4243.85,,
真相禁区,2016,4204.14,,
一句顶一万句,2016,4158.49,,
宅女侦探桂香,2015,4130.97,,
摇滚藏獒,2016,3961.87,,
巴啦啦小魔仙之魔箭公主,2015,3821.06,,
我最好朋友的婚礼,2016,3744.73,,
神探驾到,2015,3733.95,,
甜蜜杀机,2014,3723.5,,
绝命航班,2014,3672.54,,
那件疯狂的小事叫爱情,2016,3658.65,,
天亮之前,2016,3639.51,,
勇士,2016,3637.87,,
我的战争,2016,3612.65,,
笔仙惊魂3,2014,3531.5,,
全城通缉,2014,3507.68,,
蒸发太平洋,2016,3504.73,,
年兽大作战,2016,3451.16,,
我的新野蛮女友,2016,3418.53,,
山河故人,2015,3403.12,,
潜艇总动员之时光宝盒,2015,3376.8,,
夜孔雀,2016,3318.63,,
大唐玄奘,2016,3302.06,,
新步步惊心,2015,3216.65,,
天河,2014,3215.45,,
一念天堂,2015,3120.12,,
少年,2016,3096.45,,
土豪520,2015,3008.64,,
兔侠之青黎传说,2015,2945.47,,
北京时间,2015,2912.7,,
开心超人2之启源星之战,2014,2803.42,,
一万年以后,2015,2771.54,,
疯狂七十二小时,2014,2735.94,,
辛巴达历险记2,2014,2595.95,,
精灵王座,2016,2501.44,,
冒牌卧底,2016,2469.74,,
魁拔3战神崛起,2014,2430.07,,
百变爱人,2014,2415.71,,
我的男友和狗,2015,2413.48,,
三只小猪与神灯,2015,2374.16,,
食人虫,2014,2260.03,,
可爱的你,2015,2219.03,,
好命先生,2014,2212.72,,
夜莺,2014,2204.65,,
魔幻仙踪,2014,2186.55,,
张振讲故事之鬼迷心窍,2015,2090.47,,
碟仙诡谭,2014,2013.79,,
重生爱人,2015,1984.89,,
巴啦啦小魔仙之魔法的考验,2014,1915.45,,
麦兜·饭宝奇兵,2016,1895.79,,
怨灵,2014,1886.55,,
81号农场之疯狂的麦咭,2014,1877.88,,
超能太阳鸭,2016,1874.03,,
铠甲勇士捕王,2016,1857.86,,
谎言西西里,2016,1806.63,,
巴黎假期,2015,1789.18,,
白雪公主之矮人力量,2014,1760.25,,
美人鱼之海盗来袭,2015,1727.29,,
旋风九日,2015,1685.35,,
不能说的夏天,2014,1668.39,,
六世古宅,2015,1649,,
你好，疯子！,2016,1621.5,,
魔镜奇缘,2015,1577,,
阿里巴巴大盗奇兵,2015,1571.12,,
吉星高照2015,2015,1528.73,,
宝贝当家,2016,1527.25,,
床下有人2,2014,1488.25,,
人间小团圆,2014,1430.75,,
过界男女,2014,1423.49,,
年少轻狂,2015,1405.94,,
缘份,2016,1391.91,,
念念,2015,1390.33,,
小明和他的小伙伴们,2016,1352.35,,
谋杀似水年华,2016,1349.58,,
夜半梳头,2014,1348.25,,
非常父子档,2016,1340.18,,
落跑吧爱情,2015,1302.29,,
女生宿舍,2014,1283.31,,
我的播音系女友,2014,1280.87,,
我叫哀木涕之山口山战记,2016,1263.01,,
我的青春期,2015,1258.83,,
甜蜜蜜,2015,1248.13,,
最萌身高差,2016,1238.44,,
恐怖电影院,2014,1227.75,,
七月半之恐怖宿舍,2015,1223.28,,
三城记,2015,1222.36,,
我在故宫修文物,2016,1215.08,,
战火中的芭蕾,2015,1201.79,,
十万个冷笑话,2014,1194.35,,
别有动机,2015,1187.63,,
喜马拉雅天梯,2015,1163.63,,
龟兔再跑,2014,1162.93,,
老阿姨,2016,1161.79,,
筷仙,2016,1128.09,,
白雪公主之神秘爸爸,2015,1111.71,,
发条城市,2016,1105.75,,
在世界中心呼唤爱,2016,1105.71,,
永远的焦裕禄,2014,1101,,
江湖论剑实录,2014,1093.93,,
推拿,2014,1086.13,,
等一个人咖啡,2014,1067.83,,
大火种,2016,1059.81,,
男人不可以穷,2014,1058.28,,
育婴室,2016,1048.24,,
笔仙魔咒,2015,1047,,
魔镜,2015,1035.77,,
情敌蜜月,2015,1032.68,,
王牌,2014,1031.84,,
不再说分手,2014,1027.95,,
国酒,2016,1021.42,,
青蛙总动员,2016,1008.67,,
深夜前的五分钟,2014,1006.12,,
坏姐姐之拆婚联盟,2014,993.32,,
黑瞳,2015,986.13,,
我是哪吒,2016,972.31,,
我是处女座,2016,935.82,,
床下有人3,2016,927.21,,
咕噜咕噜美人鱼,2015,917.33,,
爱我就陪我看电影,2015,905.76,,
分手再说我爱你,2015,905.57,,
聊斋新编之画皮新娘,2016,904.7,,
半夜叫你别回头,2015,903.29,,
密道追踪,2014,900.98,,
呆呆计划,2016,895.41,,
摩尔庄园大电影3魔幻列车大冒险,2015,891.09,,
情况不妙,2016,886.51,,
最佳嫌疑人,2014,883.03,,
惊魂电影院,2015,867.68,,
诱狼,2015,848.42,,
奥拉星：进击圣殿,2015,845.89,,
午夜43路,2015,838.98,,
开罗宣言,2015,838.44,,
超萌特攻队—长江7号,2015,831.97,,
男神时代,2015,823.86,,
刺猬小子之天生我刺,2016,822.94,,
泡沫之夏,2016,811.02,,
浪漫天降,2015,788.66,,
魔轮,2016,783.93,,
泰迪熊之玩具大战,2016,782.01,,
黑处有什么,2016,780.13,,
大喜临门,2015,775.82,,
蜜月酒店杀人事件,2016,767.54,,
爱情进化论,2014,762.8,,
洋妞到我家,2014,756.26,,
特工艾米拉之生化危机,2014,740.98,,
毛丰美,2016,726.54,,
神兽金刚之青龙再现,2016,722.22,,
七月半2：前世今生,2016,708.71,,
闯堂兔2疯狂马戏团,2014,708.48,,
美人邦,2014,702.64,,
猪猪侠之英雄猪少年,2016,701.94,,
还魂之迷失曼谷,2014,673.26,,
六弄咖啡馆,2016,654.36,,
我就是我,2014,652.88,,
疯狂丑小鸭,2016,642.19,,
拆散专家,2014,637.5,,
斗龙战士之星印罗盘,2016,637.47,,
一切都好,2015,635.79,,
食人岛,2016,635.78,,
猛龙特囧,2015,635.31,,
太空熊猫英雄归来,2016,630.92,,
花咒,2014,622.76,,
阿里巴巴2所罗门封印,2016,618.93,,
怨灵人偶,2014,607.45,,
恐怖将映,2016,607.19,,
诡替身,2014,602.53,,
猫脸老太太,2016,585.99,,
汽车人总动员,2015,582.57,,
小门神,2015,582.07,,
死亡游戏,2016,580.72,,
一路向前,2015,569.85,,
追爱大布局,2014,566.3,,
死亡派对,2014,551.6,,
金箍棒传奇2：沙僧的逆袭,2015,550.45,,
我是谁2015,2015,549.43,,
擦枪走火,2015,548.73,,
再见我们的十年,2015,534.07,,
笔仙撞碟仙,2016,522.62,,
圣诞大赢家,2015,520.69,,
星语心愿之再·爱,2015,520.08,,
见习警员白忆男之初来乍到,2015,519.46,,
糖果世界大冒险,2016,511.82,,
奇幻女侠,2015,504.76,,
秘术,2014,502.84,,
哪一天我们会飞,2016,502.23,,
夺路而逃,2016,499.88,,
老人，孩子和外国人,2015,499.75,,
龙拳小子,2016,495.49,,
终极硬汉,2016,491.88,,
功夫四侠,2016,488.6,,
幽灵医院,2016,486.54,,
小猪班纳大电影之梦想大“帽”险,2015,447.31,,
张震讲故事之合租屋,2016,442.75,,
青蛙王国之冰冻大冒险,2016,434.29,,
丑小鸭历险记,2016,432.19,,
夏威夷之恋,2016,431.41,,
