影片名,上映年代,票房（万元）,,
夜郎侠之一路危途,2015,0.02,,
爱情不等式,2015,0.02,,
简装男神,2015,0.02,,
红军乡,2015,0.02,,
美人鱼,2015,0.02,,
警犬嬷嬷历险记,2015,0.02,,
诡宅,2015,0.02,,
我心雀跃,2016,0.02,,
无悔的心,2016,0.02,,
景阳钟,2016,0.02,,
欧巴的情人,2016,0.02,,
禁锢,2016,0.02,,
长安侠影之药王诡案,2016,0.02,,
隔离岛,2016,0.02,,
非常意外,2016,0.02,,
黄天厚土,2016,0.02,,
一个人的课堂,2014,0.01,,
一剑钟情,2014,0.01,,
人间正道,2014,0.01,,
侠僧探案传奇之大兴赌坊,2014,0.01,,
哦，爱,2014,0.01,,
我们永远在一起,2014,0.01,,
我的七年,2014,0.01,,
断桥遗梦,2014,0.01,,
暴走神探,2014,0.01,,
李子王的浪漫事,2014,0.01,,
梦之春,2014,0.01,,
检察官吴群的故事,2014,0.01,,
泡菜,2014,0.01,,
爱情两对半,2014,0.01,,
狗尾巴也是草,2014,0.01,,
生死缉毒,2014,0.01,,
神眼之红毛鬼,2014,0.01,,
第七种味道,2014,0.01,,
糗事百科之囧人糗事,2014,0.01,,
谁来陪伴我,2014,0.01,,
铁塔油花,2014,0.01,,
阳光舞台,2014,0.01,,
阳光里的幸福,2014,0.01,,
咱们分手吧,2015,0.01,,
圩堡枪声,2015,0.01,,
塞外长风,2015,0.01,,
天良,2015,0.01,,
天降,2015,0.01,,
太极先锋,2015,0.01,,
娘家人,2015,0.01,,
少年圆瑛,2015,0.01,,
心灵的眼睛,2015,0.01,,
折腾就是爱3：少女烦恼,2015,0.01,,
旺都之恋,2015,0.01,,
最美的承诺,2015,0.01,,
熊出没之熊心归来,2015,0.01,,
轻羽飞扬,2015,0.01,,
阿凡提和阿瓦提,2015,0.01,,
青春激荡的年代,2015,0.01,,
面孔,2015,0.01,,
风云小棋王之五行杀阵,2015,0.01,,
风口青春,2015,0.01,,
不得不走,2016,0.01,,
二胎来了,2016,0.01,,
分手吧,2016,0.01,,
咸鱼传奇,2016,0.01,,
擎天无影脚黄麒英,2016,0.01,,
爱无界,2016,0.01,,
碟仙,2016,0.01,,
致命一击,2016,0.01,,
蜜月计划,2016,0.01,,
触发,2016,0.01,,
请柬,2016,0.01,,
一个人的追逃,2014,0,,
三更车库,2014,0,,
五彩神箭,2014,0,,
亲情（故事片）,2014,0,,
人皮拼图,2014,0,,
仁者医路,2014,0,,
假日总动员,2014,0,,
全能囧爸,2014,0,,
公主为奴,2014,0,,
军渡,2014,0,,
冲锋车,2014,0,,
分手，不分手,2014,0,,
刺杀吉川,2014,0,,
功夫豫菜,2014,0,,
北燕南鸣,2014,0,,
卓尼土司,2014,0,,
南平劫,2014,0,,
厉害媳妇,2014,0,,
回族儿女,2014,0,,
基隆,2014,0,,
大局,2014,0,,
奇葩追梦,2014,0,,
女神跟我走,2014,0,,
妈咪侠,2014,0,,
守望天湖,2014,0,,
守望者,2014,0,,
密战黑茶山,2014,0,,
小人国之酷学时代,2014,0,,
小西天狄道传奇,2014,0,,
少女哪咤,2014,0,,
山里的梦想,2014,0,,
恋城,2014,0,,
恋爱排班表,2014,0,,
我和我的小伙伴们,2014,0,,
我的“狐朋狗友”,2014,0,,
接管,2014,0,,
搏击迷城,2014,0,,
摇滚英雄,2014,0,,
断片儿,2014,0,,
时间都去哪了,2014,0,,
春芽,2014,0,,
有种你爱我,2014,0,,
木偶传奇之小铃铛保卫战,2014,0,,
未卜,2014,0,,
检察长,2014,0,,
母亲的梦想,2014,0,,
毛泽东在上海·1924,2014,0,,
毛驴县令之歪打正着,2014,0,,
水草,2014,0,,
求生者,2014,0,,
热武青春,2014,0,,
爱你七天半,2014,0,,
爱在黄昏日落前,2014,0,,
特功明星,2014,0,,
狭路相逢,2014,0,,
玩命试爱,2014,0,,
甘露,2014,0,,
碧海琴心,2014,0,,
神秘指纹,2014,0,,
童真的眼睛,2014,0,,
老兵,2014,0,,
老腔,2014,0,,
舞出人生,2014,0,,
花·儿,2014,0,,
虎皮枫木,2014,0,,
诡计1940,2014,0,,
赚够一千万,2014,0,,
走出迷林,2014,0,,
超萌宝贝,2014,0,,
踏雪寻梅,2014,0,,
躁动时代,2014,0,,
过山车,2014,0,,
遥远的锡林郭勒,2014,0,,
金秋喜临门,2014,0,,
金鼓槌,2014,0,,
钟馗传奇之岁寒三友,2014,0,,
长江图,2014,0,,
非常旅途,2014,0,,
风云小棋王之解杀反捉,2014,0,,
香魂塘畔香魂女,2014,0,,
一个人的恋情,2015,0,,
一诺·千金,2015,0,,
上门女婿,2015,0,,
不打不相爱,2015,0,,
不是钱的事,2015,0,,
为了你的微笑,2015,0,,
乌珠穆沁的孩子,2015,0,,
仫佬行者,2015,0,,
何帅的爱情,2015,0,,
余之香,2015,0,,
侗族大歌,2015,0,,
保山,2015,0,,
偷天换日,2015,0,,
冰美人,2015,0,,
华侨村官,2015,0,,
同城邂逅,2015,0,,
听风捉影,2015,0,,
喋血神兵,2015,0,,
喜当爹,2015,0,,
坐怀不乱柳下惠,2015,0,,
大漠青春,2015,0,,
大音,2015,0,,
奇葩朵朵,2015,0,,
妮莎罕,2015,0,,
对面一枪,2015,0,,
小棉袄,2015,0,,
小海的海,2015,0,,
小爸小妈,2015,0,,
山娃,2015,0,,
巴士进行曲,2015,0,,
布基兰,2015,0,,
希望之火,2015,0,,
平凡之路,2015,0,,
幸运是我,2015,0,,
彩虹总在风雨后,2015,0,,
快乐童年,2015,0,,
怨宅惊魂,2015,0,,
恋爱、美食、蟹黄包,2015,0,,
恐怖笔记,2015,0,,
情花谷,2015,0,,
我和妈妈,2015,0,,
我很有才,2015,0,,
打开天窗说亮话,2015,0,,
报国忠烈之杨靖宇,2015,0,,
报国忠烈之赵一曼,2015,0,,
敌后文工队,2015,0,,
无敌神男,2015,0,,
日本战犯忏悔备忘录,2015,0,,
暗剑,2015,0,,
杀漠,2015,0,,
村长相声哥,2015,0,,
杨锅三的愤怒,2015,0,,
桑吉卓玛,2015,0,,
梦行者,2015,0,,
楚溪的故事,2015,0,,
母亲的飞机场,2015,0,,
油菜花儿开,2015,0,,
泰恋,2015,0,,
深流不息,2015,0,,
渡河！渡河！,2015,0,,
热干面的味道,2015,0,,
熊庆来,2015,0,,
爱在初心,2015,0,,
王贵与李香香,2015,0,,
琴弦上的爱,2015,0,,
生死拯救,2015,0,,
白石山下一家人,2015,0,,
盗非盗,2015,0,,
糯米的苹果,2015,0,,
红鹰突击队之生死一线,2015,0,,
老师也疯狂,2015,0,,
诡梦凶铃,2015,0,,
贫穷富爸爸,2015,0,,
超级爸爸,2015,0,,
路边野餐,2015,0,,
迪迪帮帮总动员之游乐城冒险记,2015,0,,
钢刀,2015,0,,
青春检察官,2015,0,,
青春笔记,2015,0,,
风云小棋王之生死决,2015,0,,
一家两口,2016,0,,
一树一树紫花开,2016,0,,
万里挑一,2016,0,,
三流勇士,2016,0,,
三线好青年,2016,0,,
乔乔的魔法,2016,0,,
五彩梦,2016,0,,
京城81号2,2016,0,,
你在哪,2016,0,,
八仙传之吕仙惩贪记,2016,0,,
冈仁波齐,2016,0,,
冒牌三勇士,2016,0,,
初一,2016,0,,
双手洪拳,2016,0,,
反恐特战队之黑日密钥,2016,0,,
吕梁汉子,2016,0,,
咏春女孩,2016,0,,
围炉,2016,0,,
夏天十九岁的肖像,2016,0,,
大寒,2016,0,,
大象林旺之一炮成名,2016,0,,
天路十一组,2016,0,,
寻侠英雄传之伏虎,2016,0,,
小轿车,2016,0,,
带上我的冬不拉,2016,0,,
当年情,2016,0,,
心惊胆战,2016,0,,
忠爱无言,2016,0,,
怒放生命,2016,0,,
思念爱,2016,0,,
恋恋有声,2016,0,,
恐怖快递,2016,0,,
惊心破,2016,0,,
惊悚小说,2016,0,,
惊门,2016,0,,
惹巴拉女人,2016,0,,
戎肯,2016,0,,
我大学室友的追爱囧途,2016,0,,
我想静静,2016,0,,
战火青春,2016,0,,
搞怪奇妙夜,2016,0,,
搬迁,2016,0,,
敬礼检察官,2016,0,,
斗.鼓,2016,0,,
无效申请,2016,0,,
无罪,2016,0,,
春困,2016,0,,
杂技狂人,2016,0,,
杜丽娘,2016,0,,
梨园将军,2016,0,,
毕业旅行笑翻天,2016,0,,
毛驴县令之非我莫属,2016,0,,
水恋,2016,0,,
永远的战士,2016,0,,
浪漫七夕之疯狂搅局,2016,0,,
海阔天空,2016,0,,
清明,2016,0,,
漂着金子的河,2016,0,,
热舞者之热舞之灵,2016,0,,
热血时代,2016,0,,
爱不孤单,2016,0,,
电影狂想曲,2016,0,,
白鲸之恋,2016,0,,
百家拳之关门弟子,2016,0,,
百家拳之津门八卦掌,2016,0,,
皮绳上的魂,2016,0,,
盗墓追缉,2016,0,,
知心法官,2016,0,,
碟仙诡谭2,2016,0,,
第一大案,2016,0,,
等爱,2016,0,,
红军小学,2016,0,,
纯洁心灵·逐梦演艺圈,2016,0,,
绑架者,2016,0,,
缘·梦,2016,0,,
花有重开日,2016,0,,
花腰恋歌,2016,0,,
花落梦深处,2016,0,,
草根衙门之官银劫案,2016,0,,
被风吹过的记忆,2016,0,,
西厢记,2016,0,,
诡眼,2016,0,,
跨国大追捕：“伊凡”的复仇,2016,0,,
跨国大追捕：千里追逃,2016,0,,
跨国大追捕：致命的光环,2016,0,,
跨国大追捕：阳光下的罪恶,2016,0,,
遗忘空间,2016,0,,
那岁月—刻骨铭心,2016,0,,
醉侠苏乞儿,2016,0,,
长安侠影之剑客风云,2016,0,,
阿依达,2016,0,,
雪影追踪,2016,0,,
青春逗,2016,0,,
