name	regLocation	regCapital	industry	businessScope
宇宙企画（北京）影视传媒有限公司	北京市朝阳区朝阳北路104号楼6层607	1000 万元 人民币	广播、电视、电影和影视录音制作业	动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目及电视剧制作经营许可证有效期至2016年05月07日）；组织文化艺术交流活动（不含演出）；文艺创作；企业策划；市场调查；会议及展览服务；礼仪服务；摄影服务；电脑图文设计；租赁影视器材、服装、道具；经济贸易咨询；设计、制作、代理、发布广告（依法须经批准的项目，经相关部门批准后方可开展经营活动）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京鑫航电影放映厅	北京市顺义区天竺镇岗山村北(村委会北1000米)	None	广播、电视、电影和影视录音制作业	１６毫米电影放映。
华谊兄弟影院投资有限公司	北京市朝阳区朝外大街18号丰联广场A座908室	17966.32 万元	广播、电视、电影和影视录音制作业	影院及院线投资；数字电影技术开发与技术服务；企业管理；信息咨询；项目策划；设计、制作、代理、发布各类广告。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
亚洲瑞熙（北京）电影传媒有限公司	北京市北京经济技术开发区荣华南路10号院3号楼1703室	8000 万元	广播、电视、电影和影视录音制作业	广播电视节目制作；电影摄制；组织文化艺术交流活动（不含演出）；会议服务、承办展览展示活动；礼仪服务；经济贸易咨询、公关策划；电脑动画设计；文艺创作；租赁乐器；销售乐器。（广播电视节目制作、电影摄制以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
中国儿童电影制片厂	北京市丰台区	0 万元	广播、电视、电影和影视录音制作业	拍摄儿童故事片、电视片。
北京市崇文影剧院	北京市东城区天坛东路4号	24.8 万元	广播、电视、电影和影视录音制作业	放映电影；零售日用百货、五金工具、服装、眼镜、橡胶制品；摄影。
北京完美影视传媒有限责任公司	北京市海淀区上地十街1号院2号楼10层1014	33000 万元 人民币	广播、电视、电影和影视录音制作业	电影发行（电影发行经营许可证有效期至2017年01月15日）；动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目及电视剧制作许可证有效期至2017年05月15日）；组织文化艺术交流活动（不含营业性演出）；代理、发布广告；代理进出口；销售服装、鞋帽、箱包、眼镜、首饰、文化用品、电子产品、日用杂货、针织纺品、工艺品、通讯设备、花、草及观赏性植物。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京紫禁城三联影视发行有限公司	北京市东城区北池子大街67号	270 万元	广播、电视、电影和影视录音制作业	电影电视发行；激光视盘、唱盘；摄制电影（单片）；录像带磁带的技术开发；影视人才培训；影视作品策划、咨询；购销影视设备音像制品；广告设计制作。
北京博纳国际影院投资管理有限公司	北京市东城区东直门南大街14号保利大厦办公楼18层61-62号	3150 万元 人民币	广播、电视、电影和影视录音制作业	以下限分支机构经营：电影放映；销售定型包装食品；组织文化艺术交流活动；承办展览展示；影院投资管理；代理、发布广告。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京东金映画文化传播有限公司	北京市东城区藏经馆胡同17号1幢2060室	1000 万元 人民币	广播、电视、电影和影视录音制作业	组织文化艺术交流；影视策划；设计、制作、代理、发布广告；电影发行；电影放映；电影摄制。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
